"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Update a Book","","5","0","4","0","0"
"","User Registration","","0","0","1","0","0"
"","Create a new book","","0","0","2","0","0"
"","Create a new book by admin","","4","0","2","0","0"
"","Checkout functionality","","0","0","1","0","0"
"","Retrieve Books","","1","0","3","0","0"
"","Add to Cart Functionality","","0","0","1","0","0"
"","Add Products to Wishlist","","0","0","1","0","0"
"","Initiate a product return","","0","0","1","0","0"
"","Add to Cart Functionality for Out of Stock Products","","1","0","0","0","0"
